age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,grade
15,2,3,2,1,0,3,5,1,1,1,5,0,low
15,4,3,1,3,0,5,4,3,1,1,4,2,high
16,4,4,2,3,0,2,4,3,1,1,5,7,high
15,3,4,1,3,0,4,3,2,1,1,5,2,low
15,2,2,1,1,0,4,3,1,1,1,2,8,mid
16,2,2,2,2,1,3,3,3,1,2,3,25,low
15,4,4,1,1,0,5,4,3,2,4,5,8,mid
15,4,4,1,2,0,4,3,3,1,1,5,2,high
15,2,2,1,1,0,5,4,1,1,1,1,0,low
16,2,2,2,2,1,4,3,3,2,2,5,14,low
15,4,3,1,2,0,5,2,2,1,1,5,8,low
16,3,3,1,2,0,2,3,5,1,4,3,12,low
16,4,3,1,4,0,4,2,2,1,1,2,4,high
15,4,2,1,2,0,4,3,3,2,2,5,2,mid
15,4,4,1,2,1,4,4,4,1,1,3,2,low
16,2,2,3,2,0,4,3,3,2,3,4,2,mid
15,4,2,1,2,0,4,3,3,1,1,5,2,mid
15,4,2,2,1,1,5,5,5,3,4,5,6,low
15,4,4,1,1,0,3,3,4,2,3,5,0,low
15,3,3,1,1,0,5,3,4,4,4,1,6,mid
16,2,1,1,2,0,5,3,4,1,1,2,8,low
15,4,3,1,2,0,4,3,2,1,1,1,0,high
15,4,4,1,2,0,3,2,2,1,1,5,4,high
15,1,2,1,2,0,4,3,2,1,1,5,2,low
16,4,2,1,2,0,4,2,3,1,1,5,2,high
16,4,4,1,2,0,2,4,4,2,3,4,6,low
16,1,1,4,1,0,5,5,5,5,5,5,6,low
16,1,2,1,2,0,4,4,3,1,1,1,4,low
16,4,3,1,3,0,3,4,4,2,4,4,2,low
15,4,3,1,2,0,4,4,4,2,4,2,0,low
16,4,3,3,2,0,5,4,3,1,2,1,2,high
15,4,4,1,4,0,1,3,3,5,5,3,4,mid
16,3,1,1,4,0,4,3,3,1,2,5,4,low
15,2,2,2,2,0,4,1,3,1,3,4,2,low
15,3,1,2,4,0,4,4,2,2,3,3,12,high
16,3,1,2,4,0,4,3,2,1,1,5,0,high
15,4,2,1,4,0,3,3,3,1,1,3,0,low
15,1,1,1,2,2,3,3,4,2,4,5,2,low
16,3,1,1,1,0,5,3,2,2,2,5,2,mid
16,3,3,1,2,0,4,3,3,2,4,5,54,low
15,4,3,1,2,0,4,3,3,2,3,5,6,low
15,4,0,2,4,0,3,4,3,1,1,1,8,low
16,2,2,1,4,0,5,2,3,1,3,3,0,low
17,2,1,2,1,3,4,5,1,1,1,3,2,low
16,3,4,1,2,0,2,4,3,1,2,3,12,low
15,2,3,1,1,0,3,2,2,1,3,3,2,mid
15,2,3,1,3,0,5,3,2,1,2,5,4,low
15,3,2,1,2,0,4,4,4,1,1,5,10,low
15,2,2,2,2,0,5,3,3,1,3,4,4,high
15,1,1,1,2,0,4,3,2,2,3,4,2,low
15,4,4,2,2,2,4,4,4,2,3,5,6,low
16,2,2,1,2,0,4,3,4,1,2,2,4,low
15,4,2,1,3,0,5,3,3,1,3,1,4,mid
16,2,2,2,2,1,4,4,2,1,1,3,12,low
16,4,4,1,2,0,4,1,3,3,5,5,18,low
16,3,3,1,3,0,4,3,3,1,3,4,0,low
15,4,3,1,1,0,4,5,5,1,3,1,4,high
16,3,1,1,2,0,3,3,3,2,3,2,4,low
16,4,2,2,2,0,5,3,3,1,1,1,0,low
15,2,2,1,4,0,4,3,4,1,1,4,6,mid
15,1,1,2,4,1,3,1,2,1,1,1,2,low
16,4,3,2,1,0,3,3,3,1,1,4,2,high
16,2,1,1,2,0,4,3,5,1,1,5,2,low
16,4,4,1,1,0,5,3,4,1,2,1,6,mid
16,4,3,1,3,0,5,3,5,1,1,3,0,low
16,4,4,1,1,0,4,5,5,5,5,4,14,low
16,4,4,1,3,0,4,4,3,1,1,4,0,high
15,4,4,1,1,0,5,3,3,1,1,5,4,mid
15,3,2,2,2,0,4,3,5,1,1,2,26,low
15,3,4,1,2,0,5,4,4,1,1,1,0,high
15,3,3,1,4,0,4,3,3,1,1,4,10,low
15,2,2,1,4,0,5,1,2,1,1,3,8,low
16,3,3,1,3,0,5,3,3,1,1,5,2,high
15,4,4,4,4,0,1,3,5,3,5,1,6,mid
16,4,4,1,3,0,5,4,5,1,1,4,4,high
15,4,4,1,1,0,5,5,3,1,1,4,6,high
16,3,3,1,3,1,4,1,2,1,1,2,0,low
16,2,2,1,2,1,3,1,2,1,1,5,6,mid
15,4,2,1,1,0,3,5,2,1,1,3,10,high
15,2,1,1,2,0,5,4,2,1,1,5,8,low
16,4,4,1,2,0,5,4,4,1,2,5,2,high
15,4,4,2,2,0,4,4,3,1,1,2,2,mid
16,3,3,2,1,0,5,4,2,1,1,5,0,mid
17,1,3,3,2,1,5,2,4,1,4,5,20,low
15,3,4,1,1,0,3,4,3,1,2,4,6,mid
15,1,2,1,2,0,3,2,3,1,2,1,2,high
15,2,2,1,4,0,5,5,4,1,2,5,6,high
16,2,4,2,2,0,4,2,2,1,2,5,2,mid
16,4,4,1,1,0,3,4,4,1,4,5,18,mid
16,2,2,1,2,0,5,4,4,1,1,5,0,low
15,3,4,1,1,0,5,5,5,3,2,5,0,mid
15,3,4,1,2,0,5,3,2,1,1,1,0,low
19,0,1,1,2,3,3,4,2,1,1,5,2,low
18,2,2,1,1,2,3,3,3,1,2,4,0,low
16,4,4,1,1,0,3,5,5,2,5,4,8,high
15,3,4,2,3,2,4,2,2,2,2,5,0,low
15,1,1,3,1,0,4,3,3,1,2,4,0,low
17,2,2,1,1,0,3,4,4,1,3,5,12,mid
16,3,4,1,1,0,3,2,1,1,4,5,16,low
15,3,4,4,2,0,5,3,3,1,1,5,0,low
15,4,4,1,3,0,4,3,3,1,1,5,0,low
17,3,4,3,2,0,5,4,5,2,4,5,0,low
16,3,3,2,1,2,4,3,2,1,1,5,0,low
16,1,1,1,2,1,4,4,4,1,3,5,0,mid
15,4,4,2,1,0,4,3,2,1,1,5,0,high
15,4,3,2,4,0,2,2,2,1,1,3,0,low
16,2,2,2,1,2,2,3,3,2,2,2,8,low
15,4,4,1,3,0,4,2,2,1,1,5,2,low
16,1,1,1,1,0,3,4,4,3,3,1,2,mid
17,2,1,1,1,3,5,4,5,1,2,5,0,low
15,1,1,1,2,0,4,4,2,1,2,5,0,low
15,3,2,1,2,3,3,3,2,1,1,3,0,low
15,1,2,1,2,0,4,3,2,1,1,5,2,low
16,4,4,1,1,0,3,3,2,2,1,5,0,low
15,2,1,4,1,3,4,5,5,2,5,5,0,low
18,1,1,1,1,3,2,3,5,2,5,4,0,low
16,2,1,1,1,1,4,4,4,3,5,5,6,mid
15,3,3,2,3,2,4,2,1,2,3,3,8,low
19,3,2,1,1,3,4,5,4,1,1,4,0,low
17,4,4,1,1,0,4,2,1,1,1,4,0,mid
15,2,3,1,2,0,4,4,4,1,1,1,2,low
17,1,2,1,1,0,2,2,2,3,3,5,8,mid
18,1,1,3,1,3,5,2,5,1,5,4,6,low
16,2,2,3,1,0,4,2,2,1,2,3,2,high
16,3,3,1,2,1,4,5,5,4,4,5,4,mid
17,2,1,2,1,2,3,3,2,2,2,5,0,low
15,3,2,2,2,2,4,4,4,1,4,3,6,low
16,1,2,2,1,1,4,4,4,2,4,5,0,low
17,1,3,1,1,0,5,3,3,1,4,2,2,low
17,1,1,4,2,3,5,3,5,1,5,5,0,low
16,3,2,2,1,1,4,5,2,1,1,2,16,mid
16,2,2,1,2,0,4,3,5,2,4,4,4,low
16,4,2,1,2,0,4,2,3,1,1,3,0,high
16,2,2,1,2,0,5,1,5,1,1,4,0,low
16,4,4,1,2,0,4,4,2,1,1,3,0,mid
16,3,4,3,1,2,3,4,5,2,4,2,0,low
16,1,0,2,2,0,4,3,2,1,1,3,2,high
17,4,4,1,2,0,4,4,4,1,3,5,0,low
16,1,3,1,2,3,4,3,5,1,1,3,0,low
16,3,3,2,2,0,4,4,5,1,1,4,4,low
17,4,3,2,2,0,4,4,4,4,4,4,4,low
16,2,2,2,2,0,3,4,4,1,4,5,2,low
17,3,3,1,2,0,4,3,4,1,4,4,4,low
16,4,2,1,1,0,4,3,3,3,4,3,10,low
17,4,3,1,2,0,5,2,3,1,1,2,4,low
16,4,3,1,2,0,3,4,3,2,3,3,10,low
16,3,3,1,2,0,4,2,3,1,2,3,2,mid
17,2,4,1,2,0,5,4,2,2,3,5,0,high
17,3,3,1,2,0,5,3,3,2,3,1,56,low
16,3,2,1,2,0,1,2,2,1,2,1,14,mid
17,3,3,1,2,0,4,3,4,2,3,4,12,low
16,1,2,1,1,0,3,3,3,1,2,3,2,low
16,2,1,1,2,0,4,2,3,1,2,5,0,high
17,3,3,1,2,0,3,3,3,1,3,3,6,low
17,1,2,1,2,0,3,1,3,1,5,3,4,low
16,2,3,1,2,0,4,3,3,1,1,2,10,mid
17,1,1,1,2,0,5,3,3,1,1,3,0,low
17,1,2,2,2,0,4,4,4,4,5,5,12,low
16,3,3,1,1,0,4,3,2,3,4,5,8,low
16,2,3,2,1,0,5,3,3,1,1,3,0,mid
17,2,4,1,2,0,4,3,2,1,1,5,0,high
17,4,4,1,1,0,5,2,3,1,2,5,4,high
16,3,3,3,1,0,3,3,4,3,5,3,8,low
17,4,4,2,1,1,4,2,4,2,3,2,24,high
16,4,4,1,2,0,4,5,2,1,2,3,0,low
16,4,3,1,2,0,4,3,5,1,5,2,2,high
16,2,3,1,2,0,4,4,3,1,3,4,6,low
17,1,1,1,2,0,4,4,4,1,3,1,4,low
17,2,2,1,1,0,5,3,2,1,2,3,18,low
16,2,2,2,4,0,5,3,5,1,1,5,6,low
17,3,4,1,3,1,4,4,3,3,4,5,28,low
16,3,1,1,2,3,2,3,3,2,2,4,5,low
16,4,3,1,2,0,1,3,2,1,1,1,10,mid
16,1,1,2,1,0,4,3,2,1,4,5,6,low
17,4,3,2,3,0,4,4,2,1,1,4,6,low
19,3,3,1,4,0,4,3,3,1,2,3,10,low
17,4,4,1,2,0,5,3,5,4,5,3,13,mid
16,2,2,1,2,0,3,3,4,1,1,4,0,mid
18,2,2,1,2,1,4,4,4,2,4,5,15,low
17,4,4,1,1,0,5,2,1,1,2,3,12,low
17,3,2,2,2,0,4,4,4,1,3,1,2,high
17,4,3,1,2,2,3,4,5,2,4,1,22,low
18,3,3,1,2,1,3,2,4,2,4,4,13,low
17,2,3,2,1,0,3,3,3,1,4,3,3,low
17,2,2,1,3,0,4,3,3,1,1,4,4,low
17,2,1,2,2,0,4,2,5,1,2,5,2,low
17,1,1,1,3,1,4,3,4,1,1,5,0,low
16,2,3,1,2,0,2,3,1,1,1,3,2,high
18,2,2,2,2,0,3,3,3,5,5,4,0,mid
16,4,4,1,3,0,5,3,2,1,1,5,0,mid
18,3,1,1,2,1,5,3,3,1,1,4,16,low
17,3,2,1,2,0,5,3,4,1,3,3,10,high
17,2,3,1,2,0,5,3,3,1,3,3,2,mid
18,2,1,4,2,0,4,3,2,4,5,3,14,low
17,2,1,2,3,0,3,2,3,1,2,3,10,mid
17,4,3,1,2,0,3,2,3,1,2,3,14,mid
17,2,2,2,2,0,4,5,2,1,1,1,4,low
17,4,4,1,2,0,4,5,5,1,3,2,14,low
16,4,4,1,2,0,4,2,4,2,4,1,2,mid
16,1,1,2,2,0,3,4,2,1,1,5,18,low
16,3,2,2,3,0,5,3,3,1,3,2,10,low
17,2,2,1,2,0,4,4,2,5,5,4,4,mid
16,2,1,1,1,0,4,5,2,1,1,5,20,mid
17,2,1,3,2,0,2,1,1,1,1,3,2,low
18,2,2,1,2,1,5,5,4,3,5,2,0,low
17,4,3,2,2,0,2,5,5,1,4,5,14,mid
17,4,4,2,2,0,3,3,3,2,3,4,2,mid
16,4,3,1,1,0,5,4,5,1,1,3,0,low
16,4,4,1,1,0,5,3,2,1,2,5,0,mid
18,2,1,2,3,0,4,4,4,1,1,3,0,low
16,2,1,3,1,0,4,3,3,1,1,4,6,high
17,2,3,2,1,0,5,2,2,1,1,2,4,mid
22,3,1,1,1,3,5,4,5,5,5,1,16,low
18,3,3,1,2,1,4,3,3,1,3,5,8,low
16,0,2,1,1,0,4,3,2,2,4,5,0,high
18,3,2,2,1,1,4,4,5,2,4,5,0,low
16,3,3,3,2,0,5,3,3,1,3,2,6,low
18,2,1,1,1,1,3,2,5,2,5,5,4,low
16,2,1,2,1,0,3,3,2,1,3,3,0,low
17,2,1,1,1,0,4,4,2,2,4,5,0,mid
17,1,1,2,1,1,4,4,4,1,2,5,2,low
17,4,2,1,4,0,4,2,3,1,1,4,6,mid
19,4,3,1,2,0,4,3,1,1,1,1,12,low
18,2,1,1,2,0,5,2,4,1,2,4,8,mid
17,2,2,1,4,0,3,4,1,1,1,2,0,low
18,4,3,1,2,0,3,1,2,1,3,2,21,high
18,4,3,1,2,0,4,3,2,1,1,3,2,low
18,3,2,1,3,0,5,3,2,1,1,3,1,mid
17,3,3,1,3,0,3,2,3,1,1,4,4,low
18,2,2,1,3,0,4,3,3,1,1,3,0,low
18,3,4,2,2,0,4,2,5,3,4,1,13,high
17,3,1,1,2,0,5,4,4,3,4,5,2,low
18,4,4,2,2,0,4,3,4,2,2,4,8,low
18,4,2,1,2,0,5,4,5,1,3,5,10,low
18,2,1,2,2,0,4,3,5,1,2,3,0,low
19,3,3,1,2,2,4,3,5,3,3,5,15,low
18,2,3,1,4,0,4,5,5,1,3,2,4,mid
18,1,1,2,2,0,4,4,3,1,1,3,2,low
17,1,2,1,2,0,3,5,2,2,2,1,2,mid
17,2,4,2,2,0,4,3,3,1,1,1,2,low
17,2,2,2,2,0,4,4,4,2,3,5,6,mid
18,3,2,2,2,0,4,1,1,1,1,5,75,low
18,4,4,2,1,0,3,2,4,1,4,3,22,low
18,4,4,1,2,1,2,4,4,1,1,4,15,low
18,4,3,2,1,0,4,2,3,1,2,1,8,low
17,4,1,2,1,0,4,5,4,2,4,5,30,low
17,3,2,1,1,1,4,4,4,3,4,3,19,low
18,1,1,2,4,0,5,2,2,1,1,3,1,mid
18,1,1,2,2,0,5,4,4,1,1,4,4,low
17,2,2,1,2,0,5,4,5,1,2,5,4,low
17,1,1,1,2,0,4,3,3,1,2,4,2,low
18,2,2,1,3,0,4,3,3,1,2,2,5,high
17,1,1,1,3,0,4,3,3,1,1,3,6,mid
18,2,1,1,3,0,4,2,4,1,3,2,6,mid
18,4,4,1,2,0,5,4,3,1,1,2,9,high
18,4,2,1,2,0,4,3,2,1,4,5,11,low
17,4,3,1,3,0,4,2,2,1,2,3,0,high
18,2,1,1,2,1,5,4,3,1,1,5,12,mid
17,3,1,2,4,0,3,1,2,1,1,3,6,high
18,3,2,2,3,0,5,4,2,1,1,4,8,mid
17,3,3,1,1,0,4,4,3,1,3,5,4,low
19,4,4,2,2,0,2,3,4,2,3,2,0,low
18,4,3,2,2,0,4,4,5,1,2,2,10,low
18,4,3,1,4,0,4,3,3,1,1,3,0,mid
18,4,4,1,1,0,1,4,2,2,2,1,5,high
18,4,4,1,2,0,4,2,4,1,1,4,14,low
17,4,4,2,1,0,4,1,1,2,2,5,0,low
17,4,2,2,3,0,4,3,3,1,1,3,0,mid
17,3,2,1,4,0,5,2,2,1,2,5,0,high
19,3,3,1,2,1,4,4,4,1,1,3,20,mid
18,2,4,1,2,1,4,4,3,1,1,3,8,mid
20,3,2,1,1,0,5,5,3,1,1,5,0,high
19,4,4,2,1,1,4,3,4,1,1,4,38,low
19,3,3,1,2,1,4,5,3,1,2,5,0,mid
19,1,1,1,2,1,4,4,3,1,3,3,18,low
19,1,2,1,2,1,4,2,4,2,2,3,0,low
19,2,1,3,2,0,3,4,1,1,1,2,20,mid
19,1,2,1,2,1,4,5,2,2,2,4,3,low
19,3,2,2,2,1,4,2,2,1,2,1,22,low
19,1,1,1,3,2,4,1,2,1,1,3,14,mid
19,2,3,1,3,1,4,1,2,1,1,3,40,low
18,2,1,2,2,0,5,3,3,1,2,1,0,low
18,4,3,1,3,0,4,3,4,1,1,5,9,low
17,3,4,1,3,0,4,3,4,2,5,5,0,low
18,4,4,1,2,0,4,4,4,3,3,5,2,low
17,4,3,1,2,0,5,2,2,1,2,5,23,mid
17,2,2,1,2,0,4,2,2,1,1,3,12,low
17,2,2,1,3,0,3,3,2,2,2,3,3,low
17,3,1,1,3,0,3,4,3,2,3,5,1,high
17,0,2,2,3,0,3,3,3,2,3,2,0,high
18,4,4,1,3,0,4,3,3,2,2,3,3,low
17,3,3,1,1,0,4,3,5,3,5,5,3,high
17,2,2,4,1,0,4,4,5,5,5,4,8,low
17,4,4,1,3,0,5,4,4,1,3,4,7,low
17,4,4,2,3,0,4,3,3,1,2,4,4,mid
18,2,2,1,4,0,4,5,5,2,4,5,2,low
17,2,4,1,3,0,4,4,3,1,1,5,7,mid
18,3,3,1,2,0,5,3,4,1,1,4,0,low
18,2,2,1,2,0,4,3,3,1,1,2,0,low
18,2,2,2,4,0,4,4,4,1,1,4,0,low
17,3,4,1,3,0,4,4,5,1,3,5,16,high
19,3,1,1,3,1,5,4,3,1,2,5,12,mid
17,3,2,1,2,0,4,3,2,2,3,2,0,low
18,3,3,1,4,0,5,3,3,1,1,1,7,high
17,3,2,1,2,0,4,3,3,2,3,2,4,low
19,2,1,1,3,1,4,3,4,1,3,3,4,low
18,4,4,1,2,1,4,3,3,2,2,2,0,low
18,3,4,1,2,0,4,3,3,1,3,5,11,high
17,2,2,1,2,1,3,3,1,1,2,4,0,low
18,2,3,1,3,0,4,3,3,1,2,3,4,low
18,3,2,1,3,0,5,4,3,2,3,1,7,mid
18,4,3,1,3,0,5,3,2,1,2,4,9,high
18,4,3,1,3,0,5,4,5,2,3,5,0,low
17,4,3,1,3,0,4,4,3,1,3,4,0,high
18,3,2,2,1,1,2,5,5,5,5,5,10,mid
19,1,1,3,2,3,5,4,4,3,3,2,8,low
17,3,3,2,2,0,4,5,4,2,3,3,2,mid
18,1,3,1,1,1,4,3,3,2,3,3,7,low
19,1,1,3,1,1,4,4,4,3,3,5,4,low
17,4,3,2,2,0,4,5,5,1,3,2,4,low
18,3,3,1,2,0,5,3,4,1,1,5,0,low
17,4,4,2,2,0,4,3,3,1,2,5,4,mid
17,3,2,2,2,0,1,2,3,1,2,5,2,low
18,1,1,2,1,0,3,3,2,1,2,3,4,low
18,1,1,2,3,0,5,3,2,1,1,4,0,high
18,1,4,3,2,0,4,3,4,1,4,5,0,mid
18,1,1,2,2,1,4,4,3,2,3,5,2,mid
18,3,3,2,2,0,4,3,2,1,3,3,0,low
17,4,4,1,2,0,2,3,4,1,1,1,0,high
17,1,2,2,2,0,3,2,2,1,2,3,0,mid
18,1,3,2,2,0,3,3,4,2,4,3,4,low
18,4,4,2,3,0,4,2,2,2,2,5,0,mid
17,1,1,3,1,1,5,2,1,1,2,1,0,low
18,2,3,2,1,0,5,2,3,1,2,4,0,low
18,4,4,3,2,0,3,2,2,4,2,5,10,low
19,3,2,2,2,2,3,2,2,1,1,3,4,low
18,1,2,3,1,0,4,3,3,2,3,3,3,mid
17,2,2,1,3,0,3,4,3,1,1,3,8,low
17,1,2,1,1,0,3,5,5,1,3,1,14,low
18,4,4,2,3,0,5,4,4,1,1,1,0,high
18,1,1,4,3,0,4,3,2,1,2,4,2,low
20,4,2,2,3,2,5,4,3,1,1,3,4,high
18,4,4,1,2,0,5,4,3,3,4,2,4,low
18,3,3,1,2,0,4,1,3,1,2,1,0,high
17,3,1,1,2,0,4,5,4,2,3,1,17,low
18,4,4,1,2,0,3,2,4,1,4,2,4,mid
18,2,1,2,1,0,4,4,3,1,3,5,5,low
17,2,3,2,2,0,4,4,3,1,1,3,2,low
19,1,1,2,1,1,4,3,2,1,3,5,0,low
18,4,2,2,1,1,5,4,3,4,3,3,14,low
18,2,2,2,3,0,5,3,3,1,3,4,2,low
18,4,4,3,1,0,4,4,3,2,2,5,7,low
19,2,3,1,3,1,5,4,2,1,2,5,0,low
18,3,1,1,2,0,4,3,4,1,1,1,0,low
18,1,1,2,2,1,1,1,1,1,1,5,0,low
20,2,2,1,2,2,5,5,4,4,5,4,11,low
17,3,1,2,1,0,2,4,5,3,4,2,3,high
21,1,1,1,1,3,5,5,3,3,3,3,3,low
18,3,2,3,1,0,4,4,1,3,4,5,0,low
19,1,1,1,1,0,3,2,3,3,3,5,5,low
